,Symbol,Year,Month,Day,Open,High,Low,Close,Volume,Date,Good_Time_Prices_Low,Good_Time_Prices_will_increase,Good_Time_Interest_rates_low,Good_Time_Rising_interest_rates,Good_Time_Times_good,Good_Time_Fuel_Efficiency,Bad_Time_Prices_High,Bad_Time_Interest_rates_high,Bad_Time_Cannot_Afford,Bad_Time_Uncertain_Future,Bad_Time_Gas_Prices,Bad_Time_Poor_Selection,Relative_prices,Relative_rates
4083,TTM,2009,3,12,3.4998,3.7197,3.4041,3.7006,615424,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4084,TTM,2009,3,13,3.7293,3.9205,3.6911,3.7866,511893,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4085,TTM,2009,3,16,3.9874,4.0353,3.6431,3.6431,643784,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4086,TTM,2009,3,17,3.93,4.1118,3.7771,4.1118,800893,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4087,TTM,2009,3,18,4.1309,4.2457,3.8821,4.2457,1567818,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4088,TTM,2009,3,19,4.2457,4.3413,4.0161,4.0925,1116445,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4089,TTM,2009,3,20,4.064,4.4272,4.0545,4.303,1319858,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4090,TTM,2009,3,23,4.5612,4.9533,4.5039,4.8768,1914144,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4091,TTM,2009,3,24,4.9055,4.9722,4.5419,4.6759,1849754,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4092,TTM,2009,3,25,4.7045,4.7045,4.2839,4.388999999999999,1702993,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4093,TTM,2009,3,26,4.4272,4.5995,4.3986,4.4464,1804064,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4094,TTM,2009,3,27,4.6759,4.9149,4.5803,4.829,1207478,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4095,TTM,2009,3,30,4.6377,4.6759,4.1882,4.3509,1308806,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4096,TTM,2009,3,31,4.5419,4.9245,4.3986,4.7142,1370576,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4097,HMC,2009,3,2,22.191999999999997,22.537,21.609,21.82,2537175,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4098,HMC,2009,3,3,22.088,22.144000000000002,21.418000000000006,21.733,2702734,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4099,HMC,2009,3,4,21.504,21.886,21.122,21.570999999999998,1939382,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4100,HMC,2009,3,5,21.599,21.781,20.75,21.131,2178931,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4101,HMC,2009,3,6,20.759,21.189,20.1,20.682,1881526,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4102,HMC,2009,3,9,20.397000000000002,20.491,19.804000000000002,20.022000000000002,1395497,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4103,HMC,2009,3,10,20.185,21.101999999999997,20.185,20.903000000000002,1873139,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4104,HMC,2009,3,11,21.427,21.886,21.293000000000006,21.485,1981466,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4105,HMC,2009,3,12,20.73,21.131,20.338,21.026999999999997,1661637,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4106,HMC,2009,3,13,21.83,22.068,21.589000000000002,22.01,1257928,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4107,HMC,2009,3,16,22.315,22.575,22.01,22.03,700182,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4108,HMC,2009,3,17,22.212,22.843000000000004,21.963,22.843000000000004,1010390,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4109,HMC,2009,3,18,22.096,23.263,21.991999999999997,22.986,1671413,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4110,HMC,2009,3,19,22.575,22.88,22.345,22.345,1232053,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4111,HMC,2009,3,20,22.221999999999998,22.384,21.72300000000001,21.866999999999997,730580,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4112,HMC,2009,3,23,22.384,23.148000000000003,22.355,23.148000000000003,1189366,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4113,HMC,2009,3,24,22.765,22.765,22.125999999999998,22.163,1681937,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4114,HMC,2009,3,25,22.575,23.243000000000002,22.565,23.014,1529335,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4115,HMC,2009,3,26,23.061999999999998,23.625999999999998,22.927,23.522,1172929,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
