Date,Good time to Buy,Uncertain,Bad time to Buy,Relative
1992-03-31,60.0,5.0,35.0,125.0
1992-02-29,60.0,6.0,34.0,126.0
1992-01-31,59.0,5.0,36.0,123.0
1991-12-31,52.0,9.0,39.0,113.0
1991-11-30,59.0,6.0,35.0,124.0
1991-10-31,58.0,7.0,35.0,123.0
1991-09-30,58.0,7.0,35.0,123.0
1991-08-31,64.0,7.0,29.0,135.0
1991-07-31,64.0,6.0,30.0,134.0
1991-06-30,61.0,7.0,32.0,129.0
1991-05-31,61.0,5.0,34.0,127.0
1991-04-30,63.0,6.0,31.0,132.0
1991-03-31,66.0,6.0,28.0,138.0
1991-02-28,53.0,8.0,39.0,114.0
1991-01-31,48.0,9.0,43.0,105.0
1990-12-31,47.0,10.0,43.0,104.0
1990-11-30,50.0,5.0,45.0,105.0
1990-10-31,50.0,8.0,42.0,108.0
1990-09-30,59.0,4.0,37.0,122.0
1990-08-31,57.0,5.0,38.0,119.0
1990-07-31,65.0,9.0,26.0,139.0
1990-06-30,63.0,8.0,29.0,134.0
1990-05-31,64.0,9.0,27.0,137.0
1990-04-30,66.0,7.0,27.0,139.0
1990-03-31,65.0,6.0,29.0,136.0
1990-02-28,63.0,6.0,31.0,132.0
1990-01-31,63.0,11.0,26.0,137.0
1989-12-31,58.0,10.0,32.0,126.0
1989-11-30,62.0,10.0,28.0,134.0
1989-10-31,62.0,10.0,28.0,134.0
1989-09-30,61.0,9.0,30.0,131.0
1989-08-31,61.0,11.0,28.0,133.0
1989-07-31,64.0,10.0,26.0,138.0
1989-06-30,61.0,10.0,29.0,132.0
1989-05-31,63.0,10.0,27.0,136.0
1989-04-30,65.0,9.0,26.0,139.0
1989-03-31,61.0,8.0,31.0,130.0
1989-02-28,61.0,11.0,28.0,133.0
1989-01-31,62.0,11.0,27.0,135.0
1988-12-31,61.0,10.0,29.0,132.0
1988-11-30,61.0,9.0,30.0,131.0
1988-10-31,60.0,12.0,28.0,132.0
1988-09-30,61.0,13.0,26.0,135.0
1988-08-31,62.0,12.0,26.0,136.0
